	data	0.06322325
	return	0.062467776
	set	0.061674148
	check	0.05354708
	type	0.041589223
	start	0.036743507
	add	0.033553727
	end	0.03334769
	call	0.03132546
	method	0.030379212
	create	0.028738534
	give	0.028150944
	result	0.025686115
	time	0.023480741
	number	0.022534491
	test	0.02173323
	null	0.018375568
	string	0.018329782
	list	0.017810872
	index	0.015574974
	make	0.014521889
	field	0.012995679
	order	0.01082083
	case	0.010706364
	default	0.0105766365
	object	0.010340074
	note	0.010217977
	exist	0.010149297
	exception	0.010080618
	find	0.009683804
	true	0.009660911
	code	0.009409086
	change	0.008745184
	block	0.0085315155
	match	0.008081283
	event	0.007890507
	map	0.0070739845
	long	0.007035829
	current	0.006219307
	require	0.0061811516
	expect	0.00609721
	class	0.006089579
	user	0.0059903753
	error	0.005936958
	content	0.005784337
	read	0.0051204357
	message	0.0050059697
	throw	0.0048228246
	array	0.0047617764
	provide	0.004738883
