	add	0.06643448
	fix	0.048696026
	test	0.039935436
	change	0.02359624
	remove	0.021067142
	update	0.015687374
	support	0.012758487
	make	0.012749796
	code	0.012584666
	class	0.011028966
	set	0.009447193
	move	0.008621542
	file	0.008491175
	check	0.00843903
	work	0.008404265
	time	0.0077785086
	data	0.007448248
	create	0.007239663
	bug	0.007091915
	issue	0.0070484593
	handle	0.0069441665
	type	0.006683435
	method	0.006127207
	request	0.006109825
	default	0.005866475
	commit	0.005840402
	case	0.005718727
	merge	0.0056578894
	implement	0.0055101416
	apr	0.005162499
	methods	0.00500606
	run	0.00500606
	map	0.0049452228
	error	0.0049104583
	call	0.0049017672
	start	0.00484093
	index	0.004823548
	message	0.00459758
	base	0.0045280517
	result	0.0045019784
	rename	0.004388995
	return	0.0043542306
	log	0.0042151734
	list	0.004206483
	back	0.003980515
	version	0.0039022954
	format	0.0038762223
	end	0.003832767
	fail	0.0037893115
	field	0.0037806206
